Nr_IMO;Nazwa_statku;Ladownosc
9225055;OCEANIS;40570
9225299;EIRA;14665
9225562;ANNA LEHMANN;2820
9225574;KARIN LEHMANN;2820
9225586;DIEZEBORG;6219
9226712;PHANTOM;2329
9226774;DALSLAND;3925
9226798;FEED TRONDHEIM;3925
9226803;KURLAND;3925
9227871;SOTRA;9978
9227962;SOLITAIRE I;15609
9228930;SEELAND;2224
9228978;MISSOURIBORG;6585
9229049;SPIRIT;4503
9229051;THUN GLOBE;4107
9229075;ZIJLBORG ;4938
9229116;VOSSBORG;6154
9229128;HANSEATIC TRADER;2896
9229130;WILSON HOLLA;2896
9229166;FRI SEA;2601
9229532;ORACLIFF;2144
9229544;DUTCH PIONEER;167
9229697;EQUINOX SEAS;30049
9229867;MARTIGNY;12578
9230141;GLORY ONE;39056
9231834;BJORG;9981
9231846;NEUENFELDE;9981
9231925;HORYZONT II;1321
9232486;WILLEKE;1435
9232498;AMADEUS;1435
9232814;SPRUCE ARROW;32458
9232840;MARINUS;4823
9233911;HALANDRIANI;14458
9234068;HURST POINT;23235
9234202;ZEYNEP;20157
9234276;VICTORIABORG;6361
9234288;KWINTEBANK;6378
9234290;VIRGINIABORG;6361
9234305;NESTOR;1846
9234317;DELIA;1846
9234410;FRI MOON;1599
9234989;AURORA;9981
9235488;HC BEA LUNA;6382
9235490;HC SVEA KIM;6382
9235505;LISA;2829
9236092;KARTERIA ;27989
9237010;SILVA;3978
9237242;CRACOVIA;25028
9238351;ONEGO TRADER;6301
9238363;ONEGO MERCHANT;6301
9238387;ALDEBARAN;2337
9238404;HAGLAND SAGA;2999
9238674;ANTHIA;17697
9239288;FREYA;7406
9239458;HARRIETT;17665
9240251;TEJO ALGES;2999
9240548;MARGARETHA;7752
9240732;FIGARO;1435
9241695;KEREL;23232
9242625;BOMAR VANQUISH;17189
9242730;HEINRICH;4401
9243526;HECTOR;29862
9243693;LJUTA;19712
9243851;LADY NORA;1978
9243863;LADY NOLA;1978
9243875;LADY NONA;1978
9243887;LADY NOVA ;1978
9243916;SCOT MARINER;2594
9243930;SCOT ISLES;2595
9244037;OCCITAN BARSAC;16418
9244087;LUGANO;12578
9245055;RATTANA NAREE;17431
9245249;IDC PEARL;30085
9245263;ONEGO PONZA;6806
9245275;ONEGO CAPRI;6806
9246152;XANTHIA;10578
9246267;ATHOS;1723
9246906;FRISIAN LADY;3666
9246918;HANNE THERESA;2682
9246920;ADALINE;7265
9247106;AASHEIM;4112
9247118;NORVIND;4185
9247132;NORBRIS;4185
9247613;SV KNYAZ VLADIMIR;4974
9247637;SV.GEORGIY POBEDONOSETS;4974
9248370;LEIRIA;1921
9248538;HARTLAND POINT;23235
9249831;RMS RATINGEN;1898
9250397;FITBURG;6378
9250414;CELTIC FREEDOM;2999
9250426;ARKLOW RAMBLER;2999
9250438;FAMITA;2999
9252072;LONE.STAR;27335
9252199;XIN SHUN;38871
9252929;FEHN MIRAGE;2061
9252931;PRIDE;2061
9253507;STEINSUND;1964
9255622;LUCINA;6361
9255725;ONEGO TRAVELLER;6301
9255804;SCOT BERLIN;5145
9255816;SCOT MUNCHEN;5145
9255828;SCOT BAYERN;5145
9256169;MODULUS 4;2954
9256420;PANDION;6280
9256432;ALCEDO;6556
9257199;SAKARYA;17953
9257591;BERGEN NORDIC;2490
9258222;FWN PAULA;7511
9258985;ENGLAND;7576
9259020;SARA;6301
9259056;GITANA;3169
9259068;FLEX KESTON;3164
9260407;AMARANT;4814
9260847;SCOT LEIPZIG;5145
9261011;DEM FIVE;19795
9263306;BLUEBILL;22655
9263552;KETHI;4996
9263564;EKEN;2556
9263576;LECKO;2556
9263588;LURO;2556
9264386;EN AVANT 10;358
9264740;ATLANTIS;6704
9265249;STELLA VIRGO;4074
9265665;MILLERNTOR;3152
9266425;THUN GRANITE;4107
9267259;M. H. MASTER;497
9267273;M. H. MERCHANT;498
9267704;SMARAGD;2339
9268186;ATLANTIC;4341
9268239;KEY MARMARA;3753
9268241;WILLY;4973
9268253;CLAUS;4973
9268277;PAUL E;4677
9268837;ALTENA;3991
9268849;KNARRLAGSUND;3991
9268851;LONGFJORD;3994
9268863;LONGFJELL;3995
9268875;CORA JO;3995
9268887;FENSFJORD;4035
9272230;CHIPOLBROK SUN;24167
9272735;BOMAR QUEST;5770
9272773;ADMIRALTY SPIRIT;19883
9275062;CAP BEATRICE;26833
9277278;MONTE;3289
9277319;TIP HELSINKI;5057
9277345;TIP OSLO;5057
9278337;EEMS DOLLARD;2545
9278349;BEAUMONDE;2545
9278870;APAGEON;30012
9279006;SUSANNE;2409
9279018;EGON W;2409
9279020;FLUVIUS TEIGN;2437
9279032;MARIETJE HESTER;2409
9279056;MEREL V;2409
9279068;NOORDERLICHT;2409
9279070;ELKE W;2409
9279111;MTM TOKYO;11549
9279408;FLINTERBOTHNIA;2474
9279434;KAPITAN SAKHAROV;2474
9279800;PEDHOULAS MERCHANT;43151
9280677;BRAMAU;2461
9280689;LINNAU;2461
9280706;OSTENAU;2452
9281592;AMADEUS;1719
9281786;CIMBRIS;3173
9282948;STELLAR ATLANTIC;11349
9283459;WISBY VERITY;4295
9283631;ERATO;40485
9284702;FEDERAL KUSHIRO;19223
9285029;KUJAWY;24109
9285122;MAZURY;24109
9285366;SCELVERINGHE;5116
9285407;CLIPPER VALOUR;22072
9285433;EMMA;3289
9287297;CHEM TIGER;11627
9287699;INDIA;7519
9287716;FENJA;7519
9287766;ARKLOW RESOLVE;2999
9288552;ROJAREK NAREE;17951
9289025;SPAR LYNX ;32474
9289790;NORDERSAND;3173
9290048;ONEGO BATZ;7813
9290672;KARMEL;3183
9290684;ALESSANDRA LEHMANN;3183
9291119;ATLANTIC HERO;38871
9291705;FEED RANA;2999
9291717;ARKLOW ROVER;2999
9291729;FEED ROGALAND;2999
9291963;BBC CAMPANA;9618
9293478;AMAZONITH;2435
9294692;NORDIC INGE;4473
9294965;MARMADURA;7769
9296755;V PETREL;29739
9297101;STELLA MARIS;4064
9297204;THUN GOLIATH;4745
9297591;BIANCA RAMBOW;9981
9298040;VENERE;2708
9299288;SPAR TAURUS;32486
9299460;FEDERAL MACKINAC;18825
9299472;FEDERAL MARGAREE;18825
9300192;CS SALINA;20225
9300489;COVADONGA;4816
9302255;SPIRIT;7713
9302906;NALINEE NAREE;19799
9305362;AMANDA;4811
9306079;ADELINA D;15487
9306201;ANNABA;15487
9306304;MANISA SOLE;5581
9306433;SPANACO PROGRESS;5581
9307358;TIMCA;28300
9307372;GENCA;28300
9307504;RADE;203
9310757;POLARSTAR;19885
9312377;KRISLIN;3618
9312676;CLARA;3870
9312688;AMBER SKY;3870
9312690;FRIEDA;3870
9312705;FRONTERA;3870
9312717;GOMERA;3870
9312729;VENTURA;3870
9313632;ALLER;2164
9313644;LEINE;2164
9313656;RODAU;2461
9313668;MUHLENAU;2461
9313670;NORDERAU;2461
9313682;SUDERAU;2452
9313694;RMS SAIMAA;2069
9313709;WILSON AVILES;2451
9313723;ABERDEEN;2451
9313735;WILSON AMSTERDAM;2451
9313747;WILSON AVONMOUTH;2446
9313759;WILSON ASTAKOS;2451
9313773;FOREST;2999
9313785;WAVE;2999
9313797;BELTERWIEDE;3990
9313802;DAGNA;3990
9313814;VLIELAND;3990
9313826;TERSCHELLING;3990
9313864;SKAGENBANK;2999
9313876;STEENBANK;2999
9314753;TRANS EXETER;5955
9315006;ELAN;11662
9315020;AKACIA;11662
9316282;ELBE HIGHWAY;23498
9316294;THAMES HIGHWAY;23498
9316309;DANUBE HIGHWAY;23498
9316311;SEINE HIGHWAY;23498
9316907;BOYANG GARNET;38893
9317559;LOWLANDS OPAL;30678
9318034;ARCTIC BAY;30053
9318228;SCORPIUS;7636
9319064;KALLIO;16690
9319430;MILADY;2545
9320348;CLIPPER TENACIOUS;19918
9321380;STAVFJORD;4206
9321392;AASFJORD;4266
9321407;AASTUN;4266
9322762;TR CROWN;30002
9323651;DITZUM;3173
9325130;LISA LEHMANN;3183
9325142;SIEGFRIED LEHMANN;3183
9328522;SPAR SPICA;32474
9328704;HUNTEBORG;4206
9329306;TRANS FJELL;3049
9330771;MID FALCON;11729
9331335;MILA;2528
9331359;ANKIE ;2528
9331361;LEONIE;2528
9333345;BEATE;9981
9333450;ASKOE;3183
9333462;KAISA;3183
9333541;AMAZONEBORG;11864
9333553;ESL EUROPA;11864
9333644;NORDKINN;2990
9334387;NILEDUTCH LUANDA;34642
9335020;BELFORT;30273
9336062;MORNING CELESTA;57542
9336696;ORAHOLM;3709
9336701;ORASUND;3709
9336713;ORATANK;3691
9336830;PACIFIC LIGHT;30570
9340300;EEMS TRANSPORTER;2186
9340477;OCTADEN;11570
9341108;ANDANTE;5232
9341160;SUNNANHAV;5325
9341172;KALKVIK;5325
9341184;STEN MOSTER;11935
9341316;ATLANTIC WIND;10549
9341328;ATLANTIC TWIN;10549
9341720;MAASBORG;3990
9341732;NORDFJORD;3990
9341756;IMKE;3990
9341768;DOGGERSBANK;3990
9341770;GERARDA;2999
9341782;ICELAND;2999
9342102;EN AVANT 1;186
9342138;KERSTI;4102
9342140;BJOERNOE;4102
9342152;EMSRUNNER;4102
9342164;ALINE;4102
9343613;AFRICAN HALCYON;20236
9343821;ACTIVE;7341
9344198;B GAS MARINER;3430
9344203;GOVIKEN;3430
9344320;NARCEA;2995
9344368;KERTU;3610
9344409;KARL JAKOB K;3057
9344497;ARKLOW RAINBOW;2999
9344502;ARKLOW RULER;2999
9344538;ARKLOW RAVEN;2999
9344540;ARKLOW RAIDER;2999
9345362;FAST HERMAN;2474
9345374;FLINTERBIRKA;2474
9345714;RUSICH-6;4970
9346550;RUSICH 7;4970
9346677;DINTELDIJK;2984
9346691;VELSERDIJK;2984
9346811;PODLASIE;24109
9346835;ROZTOCZE;24109
9346847;KASZUBY;24109
9347035;ESL AMERICA;12936
9349186;ALDEBARAN J;8273
9349215;ASTROSPRINTER;7720
9349227;ASTRORUNNER;7720
9349289;OCEAN MIGHT;9611
9349435;OCEAN CARRIER;6668
9349447;SIEGEDIJK;6668
9349459;FEHN LIGHT;6668
9349461;OCEAN TRADER;6668
9350006;GEMINI MAESTRO;5164
9350094;SCROOGE;16960
9350460;EEMS CHRYSTAL;1945
9350745;ATLANTIC MATE;11711
9350771;FEMBRIA;5257
9350886;CORAL LOPHELIA;5440
9350898;CORAL LACERA;5441
9350939;ANDREA ;2409
9352339;BBC SEATTLE;5057
9352743;BBC ATLANTIC;5261
9353022;FREZYA S;5029
9353395;ALLEGRETTO;3128
9353711;ORCANA;2999
9354076;AFRICAN JACARANDA;11681
9354349;X-PRESS ETNA;9981
9354351;ANINA;11662
9354387;ANDANTE;9981
9354739;MALLIKA NAREE;19891
9356414;UNISKY;6296
9356488;HYDRA;2281
9356490;HELENIC;2281
9356505;HEKLA;2281
9356517;CITO;2281
9356529;ALANA EVITA;2281
9356543;STROOMBANK;2999
9356567;ENNIO MARNIX;2999
9356579;FRAKT VIK;2999
9356581;FRAKT FJORD;2999
9356866;JEVENAU;2461
9356919;LUKE;3430
9356921;MATTHEW;3430
9357482;CATHMA;3990
9357494;ISIS;3990
9357509;JEANETTE;3990
9357511;SAFFIER;3970
9358010;OCEAN RISING;9611
9358278;NORRLAND;4967
9359648;SILVER LAKE;3538
9359650;SILVER RIVER;3538
9360477;ADIANTE;2956
9360491;CORNION;2956
9360582;MULTRATUG 4;497
9360594;MULTRATUG 14;497
9360972;DANCE;7112
9360984;IDUNA;7112
9360996;CONMAR ISLAND;8032
9361110;ANNA;2993
9361134;MARIETJE ANDREA;5418
9361328;AMBASSADEUR;3990
9361330;PAGADDER;2999
9361354;BORNHOLM;2999
9361366;GOTLAND;2999
9361378;AMISIA;3990
9361732;ARKLOW FLAIR;2998
9363168;ATALANTE;14501
9363170;RIKKE THERESA;2666
9363273;IONIAN SPIRE ;20236
9363508;EMMA JANNEKE;5232
9363819;AS OMARIA;11570
9363845;STANLEY PARK;11590
9364136;MYRTE;6046
9364148;MARIT;6046
9365491;BIRTHE BRES;2658
9365984;ARA LIVERPOOL;7702
9366122;SEA CARRIER;6668
9366134;OSLO CARRIER 2 ;6668
9366146;OSLO CARRIER 3;6668
9366158;SEA STEAMER;6668
9366160;OCEAN VOYAGER;6668
9367217;FALSTRIA SWAN;3933
9367413;FAIRCHEM FRIESIAN;11640
9367762;FRISIAN SUMMER;4087
9367774;FRISIAN SPRING;4087
9368209;RUSICH 8;4970
9368259;RUSICH-11;4970
9368261;PROFESSOR KATSMAN;4970
9368649;NAVIN RAVEN ;4825
9368871;GENCO HUNTER;32379
9369007;IRIS BOLTEN;8273
9369069;ONEGO BAYOU;7878
9369071;HC EVA MARIE;7878
9369095;BBC CHALLENGER;7878
9369306;BEAUTROPHY;5132
9369526;RICHELIEU;2545
9369655;SAGASBANK;2999
9370082;FULMAR S;9556
9370094;LIBERTA;9556
9370276;HANNA;2545
9370288;NATALY;2545
9370290;INDI;2545
9370721;KAREL;4182
9371359;OCEAN BREEZE ;11669
9371854;PERFECT;4106
9372212;JOHANNA HELENA;4842
9372274;THETIS D;17488
9372652;TARNBRIS;7315
9373280;HATHOR;2545
9373321;CLARA K;3057
9373503;SPANACO LOYALTY;2990
9373515;SPANACO RELIABILITY;2990
9373527;LAUREN C;2990
9373553;PAULA C;2990
9373565;MINKA C;3391
9373735;CORAL MONACTIS;3836
9374387;AMKE;5232
9374674;RUYTER;2528
9374686;JOLYN;2528
9374698;SPEYK;2528
9374703;EMMA;2528
9374715;BERTHOLD K;2967
9374727;FRAKT SUND;2967
9374739;VALERIE;2984
9374741;FEHN LYRA;2967
9374909;AMADEUS SILVER;1767
9375795;RORICHMOOR;2164
9375836;LADY MARY;2451
9375848;ANTWERP;2451
9375850;AVEIRO;2451
9375874;TUPERNA;2588
9375886;MALENA;2588
9375903;OHLAU;2461
9375927;THALASSIC;42751
9375989;NORDIC SOLA;2613
9376048;HANNA;9981
9376452;PERFORMER;4106
9376775;TIWALA;4102
9376787;BJOERKOE;4102
9377846;HC OPAL;8395
9377913;MOSELDIJK;2967
9377949;COOLWATER;3674
9377975;PORT PHILLIP;20987
9378230;BBC ADRIATIC;5261
9379894;BOW KISO;19420
9380726;MARAS;2545
9381407;SIMBA;5599
9381433;EVITA;5599
9381524;PEDHOULAS COMMANDER;44146
9381706;ALPPILA;14841
9381809;BURHAN DIZMAN 1;5816
9382748;CAROLINA;2409
9383924;ARGOS;2452
9385221;ANNELISA;11767
9385879;GRUMANT;15868
9385881;MERIDIAAN;5887
9385893;FRISIANA;5887
9385908;DONAU;5887
9385922;FRISIAN OCEAN;5887
9386392;FREE STATE;32379
9386433;PROUD;4106
9387310;ROVA STONES;2545
9387322;AVALON;2545
9387592;PEGASUS;11550
9388912;FORESIGHT;9611
9390094;KASTOR;2452
9390109;WILSON DUBLIN;2452
9390123;NESTOR;2452
9390135;POLLUX;2452
9390159;WILSON DUNDEE;2452
9390305;STOC MARCIA;3219
9390393;BOMAR MOON;2010
9390991;GOLFSTRAUM;7243
9391000;RYSTRAUM;7243
9391127;STRAITVIEW;2222
9391658;DEO VOLENTE;2981
9392391;JOSE PROGRESS;30969
9393266;DELFBORG;3990
9393278;EEMSHORN;3990
9393448;MIEDWIE;20603
9393620;SUNRISE;22697
9393632;SUNSHINE;22697
9393785;ELEONORA;4842
9393840;BOSPORUSDIEP;4102
9394026;MEANDER;239
9394222;DON JUAN;14116
9394234;SOUSELAS;14116
9395276;AURA;3259
9395367;BESIKTAS ICELAND;5366
9395575;CT ROTTERDAM;8273
9396701;RIX GULF;2982
9398486;WISBY WAVE;4283
9399387;LAUWERSBORG;4695
9399399;LINGEBORG;4695
9399404;LOIREBORG;4695
9401245;BEAUMARE;2545
9401257;BEAUMAIDEN;2545
9401984;CL BOY;29841
9402689;ORAKAI;3953
9403097;NORD EXPLORER;32379
9403827;PURPLE GEM;4859
9403906;NORDIC HENRIETTE;3983
9404065;DORIS SCHEPERS;7852
9404429;RODINA;24165
9404455;ROOK;24165
9405368;BENTE;2991
9407419;LAGANBORG;4695
9408645;EN AVANT 20;448
9408889;GAELLNOE;5598
9409077;TRITON VALK;31251
9409613;PELEUS;2452
9409637;BUTES;2452
9411745;PRISCILLA;2281
9411769;JADE;2281
9411771;ZEELAND;2281
9411783;HESTIA;2281
9411824;EASTERN VIRAGE;2281
9411836;EASTERN VANQUISH;2281
9412531;PRIAMOS;11550
9413341;BLUE SIX;2971
9414199;LIFTER;4990
9415040;LEMLAND;6577
9415052;HC MELINA ;6577
9415064;HC LARA;6577
9416070;DREGGEN;11722
9416331;TINA C;3391
9416795;AUTUMN;8539
9418286;BOTNIA;5285
9419242;SALTA;35240
9419254;CORRIENTES;35240
9419278;CATHY JO;3990
9419280;BEATRIX;8911
9419292;FLEVOBORG;8911
9419307;FIVELBORG;8911
9419321;FINNBORG;8911
9419802;WISDOM;6494
9421063;LEUVEBORG;5598
9421075;LENNEBORG;5598
9421087;LOOBORG;5598
9421099;LOENERBORG;5598
9421623;FRISIAN RIVER;1862
9421635;RIMINI;1862
9421647;EEMS SKY;1862
9421659;EEMS STAR;1862
9422275;LIANNE;1903
9422940;MYRSINI;42930
9423657;SPRINTER;2528
9423669;ROBIJN;2528
9423671;YVONNE ;2528
9423683;MID FORTUNE;11919
9423748;EEMSBORG;7196
9423786;KURPIE;24109
9424120;HEDVIG BULKER;19812
9424132;ELVIRA BULKER;19812
9424546;HHL RIO DE JANEIRO;17628
9424601;THOR FRIENDSHIP;31487
9427081;BBC PACIFIC;5261
9427380;HELEN BOLTEN;15861
9427524;SILVER KENNA;3166
9428499;POMORYE;15868
9429194;POLLUX;11550
9430325;BURHAN DIZMAN 2;2979
9430947;WILSON NORTH;6118
9430959;WILSON NICE;6118
9430961;WILSON NARVIK;6118
9430973;WILSON NANTES;6118
9430985;WILSON NEWPORT;6118
9430997;WILSON NORFOLK;6118
9431006;WILSON NEWCASTLE;6118
9431018;WILSON NANJING;6118
9431020;AZURYTH;3892
9431056;MAINLAND;5823
9431472;SE POTENTIA;9627
9431587;EEMS SUN;1862
9431599;SCHOKLAND;2702
9431604;O.T. IDEAAL ;2702
9431903;VIKING;332
9432505;WES SONJA;5629
9433262;HUDSONGRACHT;9611
9433274;HHL TYNE;9627
9433339;ALESIA;4723
9433341;BELIZIA;4723
9433353;CECILIA;4723
9433365;DAMINA;4723
9433377;ARKLOW BROOK;4723
9433389;ARKLOW BRIDGE;4723
9433511;MANDRAGA;3854
9434046;RONJA;2979
9434149;PAIVI;2474
9434151;TIM;2474
9434163;PERNILLE;2474
9434541;MAGDALENA;3493
9434577;ANMIRO;2461
9434589;ANMARE;2460
9434759;OSTERMARSCH;5313
9434761;AMELAND;5313
9435765;HHL MISSISSIPPI;9611
9436226;VAESTERBOTTEN;5335
9436238;HALLAND;5335
9436240;NYLAND;5335
9436252;URA;5335
9436264;NORJARL;5335
9436331;BBC CONGO;12974
9436783;PAULA VINDO;4102
9437153;BBC BERGEN;6310
9437165;BBC BANGKOK;6310
9438573;ONEGO ELBE;7878
9438585;ONEGO NEVA;7878
9439474;SCHELDEBANK;2999
9440253;ARKLOW MARSH ;9758
9440277;ARKLOW MEADOW;9758
9440576;PANTONIO;7545
9440928;THOR CALIBER;32415
9441984;LUBIE;20603
9442184;ELISABETH;3493
9442914;BESIKTAS HALLAND;5261
9445540;BEGONIA S;8837
9448255;AVOCET ARROW;37128
9448372;HHL NEW YORK;17634
9448671;E.R. TALLINN;12514
9448877;JOAN;3493
9450753;GENCO AVRA;23456
9451214;DUMLUPINAR;7321
9452220;NOMADIC HJELLESTAD;9530
9452543;THEMIS;34378
9452610;ORNAK;43506
9452622;RYSY;43506
9454228;BBC MARMARA;5344
9454383;SYLVIA;1917
9454462;ELISE;1917
9454802;ODER;4255
9454814;NARWA;4255
9454826;NEWA;4255
9454838;WARNOW;4255
9455674;TUCANA;2545
9456460;INCE AKDENIZ;32983
9456721;JAN VAN GENT;8999
9456745;IJSSELBORG;8999
9457115;COPENHAGEN;4591
9457153;BORKUM;4591
9457749;NAVE POLARIS ;17846
9458028;AMARANTH;4269
9458145;VARKAN MARMARA;3478
9458248;MARIETJE MARSILLA;5418
9459149;IVS KINGLET;21483
9461594;STEFAN SIBUM;10585
9462304;MED BALTIC;5651
9462500;CAROLIN G;2545
9462744;AERANDIR;2545
9463437;ERIEBORG;7196
9463449;EDENBORG;7196
9463451;EBROBORG;7196
9463865;HANOI;1801
9463877;FRISIAN INO;1801
9465320;BIOGRAD;24099
9466219;CROWN MARY;2622
9466221;TINA;2622
9466233;ANNE DORTE;2622
9466295;ARUBABORG;11864
9466324;ANDESBORG;11885
9467184;LAMMY;2863
9467196;FIDUCIA;2862
9467201;WARBER;2862
9467225;DOUWE-S;2862
9467237;LADY HELENE;2995
9467249;LADY HESTER;2992
9470313;WAVE FRIEND;17018
9471812;MODULUS 3;2995
9471991;NOVOMAR;2954
9472012;ALTAMAR;2984
9472024;LUNAMAR;2984
9474163;DROGDENBANK;3990
9474539;MARIANNE;3493
9474541;ANGELA;3493
9474797;THOR BRAVE;32637
9477505;FAIRCHEM YUKA;11655
9477529;MTM SINGAPORE;11643
9477567;MTM ROTTERDAM;11651
9478793;ROYAL FAIRNESS;31246
9478949;NIPPON MARU;31244
9479565;AMADEUS GOLD;1767
9479577;ANITA;1767
9479931;ESTIME;2984
9479943;ESPRIT;2984
9480708;FOUR BUTTERFLY;23456
9481037;NEPTUNE MARINER;499
9481594;MARIETJE DEBORAH;5418
9481609;MARIETJE NORA;5904
9481623;KUNIANG;14912
9483451;OCCITAN PAUILLAC;18493
9483669;NORDIC PHILIP;10318
9485021;CRIMSON EMPRESS;43013
9486245;PRINCIMAR EQUINOX;13620
9486269;ZEALAND ZARIA;15545
9486398;SAINT DIMITRIOS;23322
9486568;INTERLINK COMITY;24118
9486582;INTERLINK ACUITY;24168
9487380;ALAND;3308
9487603;KAREN;2997
9488815;FILIA ARIEA ;2199
9488827;VERMLAND;2199
9489522;PANTA RHEI;2409
9489534;KELT;2409
9489546;CRISTINA;2409
9489558;ADAMAS;2409
9490179;ALEXANDER;3833
9490741;GILLINGHAM;32837
9490870;SPAR VEGA;32839
9491733;WILSON FARSUND;3561
9491745;WILSON FLUSHING;3561
9491757;WILSON FEDJE;3561
9491769;WILSON FINNFJORD;3561
9492323;PALANCA SYDNEY;10830
9492933;NAVIN FALCON;5087
9493224;WESTGATE;17025
9493896;THISSEAS;41101
9493913;NESTOR;41101
9493987;MOONBEAM;32297
9494008;VELSHEDA;43022
9496252;SOLINA;20603
9496264;MAMRY ;20603
9497323;BONNEVILLE;43717
9498925;SEAGLASS II;18499
9501203;MITTELPLATE;2415
9501215;ELENA;16042
9501241;BBC MICHIGAN;9618
9501655;BBC BELEM;6310
9501679;LOUIS;6310
9501681;MILA;6310
9501710;ABIS ANTWERPEN;2876
9501875;PALABORA;11473
9501887;PALEMBANG;11473
9502831;PRETTY KEEL;22402
9503524;EEMS SPRING;1862
9503902;ARDEA;4657
9503914;MERGUS;4657
9504114;AMERICA;6621
9504126;ARKLOW DALE;6687
9504138;ARKLOW DAWN;6687
9504140;ARKLOW DAY;6687
9504152;VESTANHAV;6069
9504267;PEMBA;6478
9504279;TOTO BR;6478
9504724;BBC AMETHYST;12838
9505285;SCHILLPLATE;2415
9505297;BONACIEUX;2415
9505314;ACCUM;2415
9505326;ROCHEFORT;2415
9505338;CONSTANCE;2415
9505546;NBP TRADER;6668
9505558;WESERBORG;6668
9505560;NBP CRUISER;6668
9505584;FROLAND;6668
9505601;HADELAND;6668
9505613;NBP LINER;6668
9505687;UNISTAR;2997
9506100;LYNX;15808
9506124;NORDERNEY;4591
9506136;LANGEOOG;4591
9506148;SPIEKEROOG;4591
9506409;NAVIN HARRIER;5087
9507075;ZEALAND DELILAH ;9514
9507087;ZEALAND BEATRIX;9514
9507130;BOCKOE;4102
9507142;PAULA ANNA;4102
9507350;WILSON ALGECIRAS;2451
9507362;WILSON ALMERIA;2451
9507374;WILSON ALICANTE;2451
9507386;DOLPHIN;175
9507726;GAS MYTH;4312
9507740;GAS CERBERUS;4312
9508639;NEHIR;2991
9509475;ARKLOW MOOR;9758
9509487;ARKLOW MUSE;9758
9509956;FLEVOGRACHT;8620
9510620;PAGADDER;2427
9511636;ONEGO HAREN;7878
9512161;GLOBAL BAY;17976
9512381;CALYPSO;11473
9512434;OCEAN FORTUNE;6479
9512783;EENDRACHT;2981
9513658;BBC LONDON;7138
9514913;IJSSELDIJK;2984
9515010;LINGEDIJK;2984
9515022;HUNZEDIJK;2984
9515034;REGGEDIJK;2984
9515101;FEDERAL SATSUKI;20465
9515682;DANSHIP BULKER;17025
9516131;SEA DISCOVERY;6872
9516143;SEA PROSPECT;6872
9516155;SEA EXPLORER;6872
9516179;SEA ENDURANCE;6872
9517238;ROSI;2545
9517240;TJONGER;2597
9518218;HUELIN DISPATCH;2597
9518220;NOORDVLIET;2597
9518232;ANDRE W;3739
9518244;KLAVERBANK;3739
9518256;SARDIUS;3739
9518268;DIAMANT;3739
9518402;KONSTANTIN;2997
9518414;PEAK DUBLIN;2997
9518426;PATRICK;2997
9518969;BERINGDIEP;4156
9518995;KARKLOE;4156
9519042;KROKSOE;4220
9519054;KORSOE;4358
9519377;CC DELGADA;6019
9519808;KARINA;4106
9520388;GUNDEM MAKBULE;2976
9520572;FAIRPLAY 27;499
9521344;HAGLAND CHIEF;2984
9521356;HAGLAND CAPTAIN;2984
9521461;SLOEBER;2427
9521837;OLZA;13579
9521863;SKAWA;13579
9522817;AROMA 2;17025
9522958;LOZA;21934
9523548;NORDSTRAUM;6768
9523562;ULTRA EUROPE;9981
9523574;ULTRA AFRICA;9983
9523938;KRISTIN C;4151
9523940;KATHY C;4151
9523952;KAREN C;4151
9523964;KATE C;4151
9525182;MONICA KOSAN;3728
9526071;BANDURA ;5425
9526083;TIDE NAVIGATOR ;5425
9526100;MARFAAM;5422
9526485;TRADE VISION;45259
9527441;CHRYSANTHI S;43950
9527673;ARKLOW FIELD;2998
9528483;WIDOR;2474
9528495;NORDIC ERIKA;2663
9528500;DELAMAR;2779
9528512;CALAMAR;2779
9528524;MERWERIVER;2767
9529188;EMUNA;2992
9529190;MOANA;2992
9529578;FEDERAL MAYUMI;20465
9530319;KAROLINE SNUG;22070
9534250;MARIA ELISE;4255
9534262;CHRISTINA;4255
9534274;WILSON VARNA;4255
9534286;WILSON VOLOS;4255
9534298;JOHANN;4255
9534303;NIKLAS G.;4255
9534365;PENHAR;4106
9534456;MOTION SCAN;6693
9534547;FRISIAN SEA;4298
9535539;BESIKTAS GALATA;2974
9536052;GEERVLIET;2549
9536064;WILSON DALVIK;2545
9536521;WILSON DUNKIRK;2545
9536935;MRC HATICE ANA;3999
9537472;SANNA;11927
9539066;CAPUCINE;16342
9540730;BLUE FURY;10360
9541825;LACONIC;34456
9542271;ROYAL HELENA;254
9543316;NAVIN OSPREY;5087
9543897;THORCO GLORY;10021
9543938;THORCO EMPIRE;9721
9544891;PEAK BELFAST;2978
9544932;ABIS BERGEN;2978
9545027;PEAK BILBAO;2978
9545039;ABIS BORDEAUX;2978
9546045;GAGLIARDA;9286
9546239;VIGOROUS;23432
9547178;IKAN LEBAN;22852
9547324;LONGVIKING;4255
9547336;LONGVIND;4255
9548299;LONGVIK;4255
9548304;LONGVANN;4255
9549281;NOVAYA ZEMLYA;15868
9549566;STELLAR MAESTRO;9963
9549607;AMETHYST;3505
9549619;AGATE;3506
9549621;BIRYUZA;3506
9549633;LAZURITE;3505
9549645;MALACHITE;3505
9549657;NEPHRITE;3505
9550199; GLOBAL STANDARD;17018
9550321;WESTERN CONFIDENCE;17018
9550424;MELINA;17041
9551662;LUNAMAR;3500
9551894;BOA BRAGE;490
