LP;Data_przybycia;Nr_IMO;Bandera;Nabrzeze
1781;16.09.2016;9441984;BS;GNIE─╣─ůNIENSKIE
1782;16.09.2016;8128884;BS;OKO
1783;16.09.2016;9180841;MT;HUTA (KRA)
1784;16.09.2016;8402577;AG;HUTA (KRA)
1785;16.09.2016;8104565;DK;FOSFATOWE
1786;17.09.2016;9423657;NL;PRZEMYSLOWE
1787;17.09.2016;9349186;AG;FINSKIE
1788;17.09.2016;9419292;NL;GORNOSLASKIE
1789;18.09.2016;9392391;PA;HUTA (KRA)
1790;18.09.2016;9196242;NL;WALBRZYSKIE
1791;18.09.2016;9566796;GI;BELGIJSKIE
1792;18.09.2016;9448877;HK;CPN III
1793;18.09.2016;9555321;RU;GLIWICKIE
1794;19.09.2016;9555333;RU;SLOWACKIE
1795;19.09.2016;9331335;NL;HOLENDERSKIE
1796;19.09.2016;9440253;IE;KATOWICKIE
1797;19.09.2016;9280689;AG;PARNICKIE
1798;19.09.2016;9202053;AG;HUTA (KRA)
1799;19.09.2016;8513314;DE;HUTA (KRA)
1800;19.09.2016;8207379;DK;HUTA (KRA)
1801;20.09.2016;9155975;CY;CZESKIE
1802;20.09.2016;9256420;CY;PARNICKIE
1803;20.09.2016;9421647;NL;BYTOMSKIE
1804;20.09.2016;9573634;NL;WULKAN S
1805;20.09.2016;7615749;PL;FINSKIE
1806;20.09.2016;9156175;GI;REMONTOWE
1807;20.09.2016;9240732;VC;ARSENAL
1808;20.09.2016;9313826;NL;PRZEMYSLOWE
1809;20.09.2016;8407711;CY;MAK
1810;20.09.2016;6605448;PL;WARSZTATOWE
1811;20.09.2016;9529578;MH;KATOWICKIE
1812;20.09.2016;9454462;AG;FOSFATOWE
1813;20.09.2016;8420098;DE;SNOP N
1814;21.09.2016;8400050;BS;POLSKIE
1815;21.09.2016;9759666;PA;GORNOSLASKIE
1816;21.09.2016;9100059;DE;SNOP N
1817;21.09.2016;8919855;AG;BELGIJSKIE
1818;21.09.2016;9123312;CY;PARNICKIE
1819;22.09.2016;9195810;FI;KATOWICKIE
1820;22.09.2016;7638349;BS;CEMENTOWE
1821;22.09.2016;7704057;PL;CAL
1822;22.09.2016;9235505;AG;HUK
1823;22.09.2016;8920282;NO;HUTA (KRA)
1824;22.09.2016;9387322;NL;SLOWACKIE
1825;22.09.2016;9454802;AG;WULKAN N
1826;22.09.2016;9408645;NL;MAZOWIECKIE
1827;22.09.2016;9143386;NO;BULGARSKIE
1828;22.09.2016;9467196;NL;REGALICA
1829;22.09.2016;7924401;AG;GLIWICKIE
1830;23.09.2016;9161247;PL;BULWAR CHROBREGO
1831;23.09.2016;7421863;KN;FARBOLAK SWFIL
1832;23.09.2016;9365984;GI;FINSKIE
1833;24.09.2016;9349215;CY;FINSKIE
1834;24.09.2016;9474539;HK;CPN III
1835;24.09.2016;8918708;NL;WEGIERSKIE
1836;24.09.2016;8918473;CY;GORNOSLASKIE
1837;24.09.2016;8505927;AG;REGALICA
1838;25.09.2016;9279056;NL;CZESKIE
1839;25.09.2016;9268837;NL;KATOWICKIE
1840;25.09.2016;9650482;NL;BYTOMSKIE
1841;25.09.2016;9536521;AG;GLIWICKIE
1842;26.09.2016;9382748;NL;HOLENDERSKIE
1843;26.09.2016;9017379;BB;HUTA (KRA)
1844;26.09.2016;9080687;NL;HUTA (KRA)
1845;26.09.2016;9516155;CY;KATOWICKIE
1846;26.09.2016;6519302;PL;PASAZERSKIE
1847;26.09.2016;9173185;AG;POZNANSKIE
1848;26.09.2016;8919831;AG;SNOP S
1849;26.09.2016;9431472;SG;SLOWACKIE
1850;27.09.2016;9148192;CY;REGALICA
1851;27.09.2016;8129395;FO;CHORZOWSKIE
1852;27.09.2016;9136101;BE;ANGIELSKIE
1853;27.09.2016;9155937;NL;CZESKIE
1854;27.09.2016;8415653;NO;GLIWICKIE
1855;27.09.2016;8899108;PL;PRCIP
1856;27.09.2016;9549645;RU;SLOWACKIE
1857;27.09.2016;9349215;CY;FINSKIE
1858;28.09.2016;9171101;CY;ODRA STARE
1859;28.09.2016;7504926;PL;ROSYJSKIE
1860;28.09.2016;8937596;PL;ROSYJSKIE
1861;28.09.2016;7504926;PL;PRCIP
1862;28.09.2016;9075450;MT;SNOP S
1863;28.09.2016;9213753;VC;ZBOZOWE
1864;28.09.2016;9584487;CY;FINSKIE
1865;29.09.2016;9421635;NL;REGALICA
1866;29.09.2016;8320585;DM;POLSKIE
1867;29.09.2016;9597410;PA;KATOWICKIE
1868;29.09.2016;9357494;NL;KATOWICKIE
1869;29.09.2016;8128884;BS;GLIWICKIE
1870;29.09.2016;8505915;VC;HUTA (KRA)
1871;30.09.2016;9161247;PL;BULWAR CHROBREGO
1872;30.09.2016;9192612;BB;BULGARSKIE
1873;30.09.2016;9201839;NL;POZNANSKIE
1874;30.09.2016;7638349;BS;CEMENTOWE
1875;30.09.2016;9463437;NL;GORNOSLASKIE
1876;30.09.2016;8321656;DK;ARSENAL
1877;30.09.2016;9623738;PA;SLOWACKIE
1878;30.09.2016;9349186;AG;FINSKIE
1879;01.10.2016;9713557;MH;CPN III
1880;01.10.2016;9240732;VC;DRZETOWSKIE N
1881;01.10.2016;8300327;PA;BULGARSKIE
1882;01.10.2016;9165308;AG;CZESKIE
1883;01.10.2016;9390991;NO;HUTA (KRA)
1884;02.10.2016;9341768;NL;GLIWICKIE
1885;02.10.2016;8412699;BS;BULGARSKIE
1886;02.10.2016;8504208;DE;SNOP N
1887;02.10.2016;9501710;NL;PARNICKIE
1888;02.10.2016;9195810;FI;BYTOMSKIE
1889;02.10.2016;9576222;NO;ODRA NOWE
1890;02.10.2016;9201827;NL;SLOWACKIE
1891;02.10.2016;9219460;GI;BYTOMSKIE
1892;02.10.2016;9234305;AG;KATOWICKIE
1893;03.10.2016;7641475;PL;CAL
1894;03.10.2016;9419307;NL;CZESKIE
1895;03.10.2016;9507350;MT;HUTA (KRA)
1896;04.10.2016;9186352;NO;HUTA (KRA)
1897;04.10.2016;9501679;AG;CHORZOWSKIE
1898;04.10.2016;9052692;NL;PARNICKIE
1899;05.10.2016;8504947;DE;POZNANSKIE
1900;05.10.2016;8918734;NL;WEGIERSKIE
1901;05.10.2016;9201956;NL;GLIWICKIE
1902;05.10.2016;9199402;GI;CZESKIE
1903;05.10.2016;9140956;BS;POLSKIE
1904;05.10.2016;9552056;AG;SLOWACKIE
1905;06.10.2016;8918485;MT;ZBOZOWE
1906;06.10.2016;9489546;NL;POZNANSKIE
1907;06.10.2016;9344320;PT;PARNICKIE
1908;06.10.2016;9349215;CY;FINSKIE
1909;06.10.2016;9381433;PT;SNOP N
1910;06.10.2016;9488815;NL;HOLENDERSKIE
1911;06.10.2016;9122227;AG;CZESKIE
1912;06.10.2016;9142643;AG;GORNOSLASKIE
1913;06.10.2016;7816484;VU;HUTA (KRA)
1914;07.10.2016;9161247;PL;BULWAR CHROBREGO
1915;07.10.2016;9142629;NL;HUTA (KRA)
1916;07.10.2016;8407228;DE;HUTA (KRA)
1917;07.10.2016;9434577;AG;REGALICA
1918;07.10.2016;9452543;MH;ZBOZOWE
1919;07.10.2016;9229051;NL;FARBOLAK SWFIL
1920;07.10.2016;8899081;PL;PRCIP
1921;07.10.2016;8404446;BE;CZESKIE
1922;07.10.2016;7638349;BS;CEMENTOWE
1923;08.10.2016;9075357;AG;KATOWICKIE
1924;08.10.2016;7615749;PL;HUTA (KRA)
1925;08.10.2016;9354349;MT;FINSKIE
1926;08.10.2016;9367762;NL;SLOWACKIE
1927;08.10.2016;9610341;CH;WALBRZYSKIE
1928;08.10.2016;8919855;AG;BELGIJSKIE
1929;08.10.2016;9277319;MT;CHORZOWSKIE
1930;08.10.2016;8857136;IS;PASAZERSKIE
1931;08.10.2016;7704057;PL;CAL
1932;08.10.2016;7700582;VC;POLSKIE
1933;09.10.2016;9393278;NL;SLOWACKIE
1934;09.10.2016;7032179;RU;WROCLAWSKIE
1935;09.10.2016;9365984;GI;FINSKIE
1936;09.10.2016;7402441;PL;BRAK
1937;09.10.2016;9118496;NO;HUTA (KRA)
1938;10.10.2016;9112155;MT;CPN III
1939;10.10.2016;8616087;LT;SLOWACKIE
1940;10.10.2016;9345374;NL;SNOP N
1941;10.10.2016;9463451;NL;GORNOSLASKIE
1942;10.10.2016;9481623;HK;KATOWICKIE
1943;10.10.2016;9197777;AG;SNOP S
1944;10.10.2016;9572006;NL;MAZOWIECKIE
1945;10.10.2016;8937534;PL;PRCIP
1946;10.10.2016;9713557;MH;CPN III
1947;11.10.2016;9085455;BE;BELGIJSKIE
1948;11.10.2016;8603377;RU;CZESKIE
1949;11.10.2016;9749099;GI;SNOP N
1950;11.10.2016;9699969;PA;CHORZOWSKIE
1951;11.10.2016;9136101;BE;ANGIELSKIE
1952;11.10.2016;9014937;MT;PARNICKIE
1953;12.10.2016;9379894;PA;KATOWICKIE - DALBY
1954;12.10.2016;9180877;AG;SNOP S
1955;12.10.2016;9489522;NL;HOLENDERSKIE
1956;12.10.2016;9349215;CY;FINSKIE
1957;13.10.2016;9126687;MT;HUTA (KRA)
1958;13.10.2016;7703259;AG;KATOWICKIE
1959;13.10.2016;9138757;DE;POZNANSKIE
1960;13.10.2016;8611013;AG;SNOP N
1961;14.10.2016;9161247;PL;BULWAR CHROBREGO
1962;14.10.2016;9350939;NL;CZESKIE
1963;14.10.2016;8505915;VC;HUTA (KRA)
1964;14.10.2016;7704057;PL;CAL
1965;14.10.2016;9369007;PT;CZESKIE
1966;14.10.2016;9691149;SG;SLOWACKIE
1967;14.10.2016;7928158;DK;HUTA (KRA)
1968;14.10.2016;8820092;LT;RUMUNSKIE
1969;14.10.2016;9242625;MH;DRZETOWSKIE N
1970;14.10.2016;9349186;AG;FINSKIE
1971;14.10.2016;8911841;FO;CEMENTOWE
1972;14.10.2016;8320585;DM;POLSKIE
1973;14.10.2016;7823334;VC;SNOP N
1974;15.10.2016;8505549;AG;FOSFATOWE
1975;15.10.2016;9180841;MT;BULGARSKIE
1976;15.10.2016;9219460;GI;PRZEMYSLOWE
1977;16.10.2016;9305362;PT;PARNICKIE
1978;16.10.2016;7615749;PL;FINSKIE
1979;16.10.2016;9408645;NL;MAZOWIECKIE
1980;16.10.2016;9125047;AG;PRZEMYSLOWE
1981;17.10.2016;9280689;AG;PARNICKIE
1982;17.10.2016;9115987;AG;BYTOMSKIE
1983;17.10.2016;6617855;AG;SNOP N
1984;17.10.2016;9479577;NL;CHORZOWSKIE
1985;17.10.2016;9201803;NL;SLOWACKIE
1986;17.10.2016;9155987;MT;CHORZOWSKIE
1987;17.10.2016;9431903;NL;MAZOWIECKIE
1988;17.10.2016;9171096;BB;PARNICKIE
1989;17.10.2016;8813972;NO;BULGARSKIE
1990;17.10.2016;9391127;MT;SPOLDZIELCZE
1991;17.10.2016;9015046;AG;WEGIERSKIE
1992;18.10.2016;9108439;VC;DRZETOWSKIE N
1993;18.10.2016;9356488;NL;HOLENDERSKIE
1994;18.10.2016;9474539;HK;CPN III
1995;18.10.2016;9213894;AG;SNOP N
1996;18.10.2016;9552056;AG;SLOWACKIE
1997;18.10.2016;9344538;IE;REGALICA
1998;18.10.2016;8919855;AG;BELGIJSKIE
1999;19.10.2016;9549657;RU;GORNOSLASKIE
2000;19.10.2016;9489558;NL;CZESKIE
2001;19.10.2016;9391127;MT;SPOLDZIELCZE
2002;19.10.2016;9344409;NL;REGALICA
2003;19.10.2016;9393278;NL;PRZEMYSLOWE
2004;19.10.2016;9344320;PT;PARNICKIE
2005;19.10.2016;9268887;NL;HUK
2006;19.10.2016;9187916;MT;BULGARSKIE
2007;19.10.2016;9165308;AG;GORNOSLASKIE
2008;19.10.2016;7504926;PL;PRCIP
2009;20.10.2016;8404446;BE;ANGIELSKIE
2010;20.10.2016;7924401;AG;ARSENAL
2011;20.10.2016;9148180;NL;REGALICA
2012;20.10.2016;9349215;CY;FINSKIE
2013;20.10.2016;9558024;GB;GLIWICKIE
2014;20.10.2016;7388657;DE;WALBRZYSKIE
2015;21.10.2016;9056040;BB;WALBRZYSKIE
2016;21.10.2016;8505927;AG;REGALICA
2017;21.10.2016;7641475;PL;CAL
2018;21.10.2016;9161247;PL;BULWAR CHROBREGO
2019;21.10.2016;9365984;GI;FINSKIE
2020;21.10.2016;9350460;NL;ZBOZOWE
2021;21.10.2016;9125085;AG;BYTOMSKIE
2022;22.10.2016;9118496;NO;HUTA (KRA)
2023;22.10.2016;8636817;SE;GRECKIE
2024;22.10.2016;9243526;CY;KATOWICKIE
2025;22.10.2016;9086605;FI;HUTA (KRA)
2026;22.10.2016;9245249;TR;CHORZOWSKIE
2027;22.10.2016;9467201;NL;SLOWACKIE
2028;23.10.2016;8873087;RU;GORNOSLASKIE
2029;23.10.2016;9344320;PT;PARNICKIE
2030;23.10.2016;9014717;MT;BYTOMSKIE
2031;23.10.2016;6604690;DK;ARSENAL
2032;24.10.2016;9423671;AG;HOLENDERSKIE
2033;24.10.2016;9378230;AG;BELGIJSKIE
2034;24.10.2016;9553244;LR;SLOWACKIE
2035;24.10.2016;9572006;NL;MAZOWIECKIE
2036;24.10.2016;9241695;MT;DRZETOWSKIE N
2037;24.10.2016;8719114;FO;GLIWICKIE
2038;24.10.2016;9557367;AG;REGALICA
2039;24.10.2016;8911841;FO;CEMENTOWE
2040;25.10.2016;9122227;AG;GORNOSLASKIE
2041;25.10.2016;8129395;FO;GLIWICKIE
2042;25.10.2016;8420086;CY;HUTA (KRA)
2043;25.10.2016;6617855;AG;SNOP N
2044;25.10.2016;8899081;PL;PRCIP
2045;25.10.2016;9208203;GI;CHORZOWSKIE
2046;26.10.2016;9136101;BE;ANGIELSKIE
2047;26.10.2016;8814196;DE;POZNANSKIE
2048;26.10.2016;9617961;HK;KATOWICKIE
2049;26.10.2016;9448671;LR;FINSKIE
2050;26.10.2016;7704057;PL;CAL
2051;26.10.2016;7924401;AG;SNOP N
2052;27.10.2016;8211629;CK;HUTA (KRA)
2053;27.10.2016;8918734;NL;WEGIERSKIE
2054;27.10.2016;9448877;HK;CPN III
2055;27.10.2016;9100152;AN;HUTA (KRA)
2056;27.10.2016;9180841;MT;BULGARSKIE
2057;27.10.2016;9247637;RU;BULGARSKIE
2058;28.10.2016;8919855;AG;BELGIJSKIE
2059;28.10.2016;9195949;MT;REGALICA
2060;28.10.2016;9187045;GI;SLOWACKIE
2061;28.10.2016;7402441;PL;BRAK
2062;28.10.2016;9240732;VC;GORNOSLASKIE
2063;28.10.2016;9057238;NL;POLSKIE
2064;28.10.2016;9256420;CY;PARNICKIE
2065;28.10.2016;9280689;AG;PARNICKIE
2066;28.10.2016;8937584;PL;PRCIP
2067;28.10.2016;9218222;BS;KATOWICKIE
2068;28.10.2016;9150535;MT;GLIWICKIE
2069;28.10.2016;9145140;BS;GLIWICKIE
2070;28.10.2016;9349215;CY;FINSKIE
2071;29.10.2016;9369007;PT;FINSKIE
2072;29.10.2016;8300327;PA;BULGARSKIE
2073;29.10.2016;9198654;NL;POZNANSKIE
2074;29.10.2016;9677404;NL;BYTOMSKIE
2075;30.10.2016;9313747;MT;HUK
2076;30.10.2016;9156199;BS;PARNICKIE
2077;30.10.2016;9263564;FO;HUTA (KRA)
2078;30.10.2016;9161182;LR;KATOWICKIE
2079;31.10.2016;9431903;NL;MAZOWIECKIE
2080;31.10.2016;9552082;AG;CZESKIE
2081;31.10.2016;8899108;PL;PRCIP
2082;31.10.2016;9631072;NL;CHORZOWSKIE
2083;31.10.2016;8505927;AG;REGALICA
2084;01.11.2016;9167332;CY;SLOWACKIE
2085;01.11.2016;8918708;NL;WEGIERSKIE
2086;01.11.2016;8315449;NL;SNOP N
2087;01.11.2016;9357494;NL;PRZEMYSLOWE
2088;01.11.2016;9313814;NL;GORNOSLASKIE
2089;02.11.2016;9190183;CY;BYTOMSKIE
2090;02.11.2016;8225474;PL;WARSZTATOWE
2091;02.11.2016;7928158;DK;HUTA (KRA)
2092;02.11.2016;9423786;BS;ZBOZOWE
2093;02.11.2016;9356505;NL;REGALICA
2094;02.11.2016;6605448;PL;WARSZTATOWE
2095;02.11.2016;8418019;NL;KATOWICKIE
2096;02.11.2016;9184811;AG;BYTOMSKIE
2097;02.11.2016;7700582;VC;POLSKIE
2098;03.11.2016;8400050;BS;BULGARSKIE
2099;03.11.2016;9364148;NL;GORNOSLASKIE
2100;03.11.2016;7924401;AG;ARSENAL
2101;03.11.2016;9201944;NL;SNOP S
2102;03.11.2016;8913708;NO;HUTA (KRA)
2103;03.11.2016;9416331;GB;BELGIJSKIE
2104;03.11.2016;9006370;GB;KATOWICKIE
2105;03.11.2016;8706349;CY;MAK
2106;03.11.2016;8714841;DE;WEGIERSKIE
2107;04.11.2016;8321656;DK;SNOP N
2108;04.11.2016;9391127;MT;SPOLDZIELCZE
2109;04.11.2016;9341782;NL;PIRS E
2110;04.11.2016;9239458;LR;GORNOSLASKIE
2111;04.11.2016;9361366;NL;CEMENTOWE
2112;04.11.2016;9341720;NL;SLOWACKIE
2113;04.11.2016;9392391;PA;HUTA (KRA)
2114;04.11.2016;9349215;CY;FINSKIE
2115;04.11.2016;9549619;RU;BULGARSKIE
2116;04.11.2016;9365984;GI;CZESKIE
2117;05.11.2016;8611192;AG;DRZETOWSKIE N
2118;05.11.2016;9391127;MT;SPOLDZIELCZE
2119;05.11.2016;9553012;PA;KATOWICKIE
2120;05.11.2016;7704057;PL;CAL
2121;05.11.2016;9658355;MH;CPN III
2122;05.11.2016;8719085;FO;REGALICA
2123;05.11.2016;8404458;VU;ANGIELSKIE
2124;06.11.2016;6815976;DK;REMONTOWE
2125;06.11.2016;8918734;NL;CZESKIE
2126;06.11.2016;9381407;AG;WULKAN N
2127;06.11.2016;9143374;BS;POLSKIE
2128;06.11.2016;8300327;PA;BULGARSKIE
2129;06.11.2016;9372212;AG;CZESKIE
2130;06.11.2016;9267704;NL;PARNICKIE
2131;07.11.2016;9201956;NL;HOLENDERSKIE
2132;07.11.2016;8513314;DE;WALBRZYSKIE
2133;07.11.2016;9108740;NO;FARBOLAK SWFIL
2134;07.11.2016;8402577;AG;BULGARSKIE
2135;07.11.2016;9218193;AG;SNOP N
2136;07.11.2016;7402441;PL;BRAK
2137;07.11.2016;9180853;AG;BULGARSKIE
2138;07.11.2016;7038680;NO;PARNICKIE
2139;07.11.2016;9528512;GI;SLOWACKIE
2140;08.11.2016;9341782;NL;PIRS E
2141;08.11.2016;9742417;PA;KATOWICKIE
2142;08.11.2016;9350460;NL;DRZETOWSKIE N
2143;08.11.2016;9578012;SG;CPN III
2144;08.11.2016;8705838;GL;REMONTOWE
2145;08.11.2016;9279068;NL;CZESKIE
2146;08.11.2016;9408645;NL;MAZOWIECKIE
2147;08.11.2016;9431903;NL;WARSZAWSKIE
2148;08.11.2016;9434149;CY;POZNANSKIE
2149;08.11.2016;9156175;GI;KATOWICKIE
2150;08.11.2016;9187928;MT;BULGARSKIE
2151;09.11.2016;8611013;AG;SNOP N
2152;09.11.2016;8100636;BS;GORNOSLASKIE
2153;09.11.2016;9201803;NL;SLOWACKIE
2154;09.11.2016;9100059;DE;DRZETOWSKIE N
2155;09.11.2016;8865896;SE;REGALICA
2156;09.11.2016;7514440;VC;SNOP S
2157;09.11.2016;7700594;VC;POLSKIE
2158;10.11.2016;8222185;AG;HUTA (KRA)
2159;10.11.2016;7382665;MT;WALBRZYSKIE
2160;10.11.2016;6507983;VC;ARSENAL
2161;10.11.2016;9161247;PL;BULWAR CHROBREGO
2162;10.11.2016;8104541;AG;POZNANSKIE
2163;10.11.2016;8919855;AG;SLOWACKIE
2164;10.11.2016;9187136;NL;PARNICKIE
2165;11.11.2016;8899108;PL;PRCIP
2166;11.11.2016;9349215;CY;FINSKIE
2167;11.11.2016;8857148;IS;PASAZERSKIE
2168;11.11.2016;9341782;NL;PIRS E
2169;11.11.2016;8636817;SE;GRECKIE
2170;11.11.2016;7924401;AG;GLIWICKIE
2171;11.11.2016;8024155;VC;HUTA (KRA)
2172;12.11.2016;9369007;PT;FINSKIE
2173;12.11.2016;9150236;MT;HUK
2174;12.11.2016;9566784;AG;KATOWICKIE
2175;12.11.2016;9218222;BS;GLIWICKIE
2176;12.11.2016;9013000;AG;POZNANSKIE
2177;12.11.2016;8603377;RU;GORNOSLASKIE
2178;12.11.2016;9583902;AG;HUK
2179;12.11.2016;8822612;BS;BULGARSKIE
2180;13.11.2016;7615749;PL;CZESKIE
2181;13.11.2016;8412699;BS;BULGARSKIE
2182;13.11.2016;9305362;PT;PARNICKIE
2183;13.11.2016;8402668;VC;SLOWACKIE
2184;13.11.2016;9558012;GB;KATOWICKIE
2185;13.11.2016;9760407;NL;BULGARSKIE
2186;13.11.2016;9240548;AG;GDANSKIE
2187;13.11.2016;8407228;DE;ODRA STARE
2188;13.11.2016;9129392;NL;CPN III
2189;13.11.2016;9121912;AG;BYTOMSKIE
2190;13.11.2016;9631345;AG;CHORZOWSKIE
2191;13.11.2016;9125841;BB;ANGIELSKIE
2192;14.11.2016;7641475;PL;CAL
2193;14.11.2016;9361354;NL;CEMENTOWE
2194;14.11.2016;8207379;DK;HUTA (KRA)
2195;14.11.2016;9156187;GI;POLSKIE
2196;14.11.2016;9713818;PA;SLOWACKIE
2197;14.11.2016;9549657;RU;CZESKIE
2198;14.11.2016;9052692;NL;PARNICKIE
2199;14.11.2016;9177882;AG;HUTA (KRA)
2200;14.11.2016;8906224;FI;REGALICA
2201;14.11.2016;9201956;NL;SNOP S
2202;14.11.2016;9163647;AG;SLOWACKIE
2203;14.11.2016;9218234;NL;SNOP S
2204;15.11.2016;6605503;PL;WARSZTATOWE
2205;15.11.2016;9418286;AG;BULGARSKIE
2206;15.11.2016;9582867;AG;GORNOSLASKIE
2207;15.11.2016;9214018;NL;HOLENDERSKIE
2208;15.11.2016;8911504;AG;POLSKIE
2209;15.11.2016;9746164;MH;KATOWICKIE - DALBY
2210;16.11.2016;9150509;MT;HUK
2211;16.11.2016;6605448;PL;WARSZTATOWE
2212;16.11.2016;6604690;DK;MAK
2213;16.11.2016;9572006;NL;WULKAN S
2214;16.11.2016;9458145;TR;PARNICKIE
2215;16.11.2016;9489558;NL;SLOWACKIE
2216;16.11.2016;9523952;GB;KATOWICKIE
2217;16.11.2016;9408645;NL;MAZOWIECKIE
2218;16.11.2016;9125671;ES;REGALICA
2219;16.11.2016;9122227;AG;CZESKIE
2220;16.11.2016;8628133;RU;WALBRZYSKIE
2221;17.11.2016;9161247;PL;BULWAR CHROBREGO
2222;17.11.2016;9223435;NL;CHORZOWSKIE
2223;17.11.2016;7502021;CK;REMONTOWE
2224;17.11.2016;9191955;AG;SNOP S
2225;17.11.2016;9000833;BB;HUTA (KRA)
2226;18.11.2016;9130200;MT;GLIWICKIE
2227;18.11.2016;9086605;FI;CZESKIE
2228;18.11.2016;9391127;MT;FARBOLAK SWFIL
2229;18.11.2016;9142643;AG;BULGARSKIE
2230;18.11.2016;9100138;NO;RUMUNSKIE
2231;18.11.2016;9658355;MH;CPN III
2232;18.11.2016;9365984;GI;FINSKIE
2233;18.11.2016;9375836;AG;PRZEMYSLOWE
2234;18.11.2016;8129395;FO;KATOWICKIE
2235;18.11.2016;9136838;MT;ZBOZOWE
2236;18.11.2016;9142629;NL;HUTA (KRA)
2237;18.11.2016;9180865;AG;GLIWICKIE
2238;18.11.2016;9140956;BS;BULGARSKIE
2239;18.11.2016;9290048;AG;BULGARSKIE
2240;19.11.2016;9349215;CY;FINSKIE
2241;19.11.2016;7615749;PL;SPOLDZIELCZE
2242;19.11.2016;9288552;TH;KATOWICKIE
2243;19.11.2016;9391127;MT;SPOLDZIELCZE
2244;19.11.2016;9171101;CY;PARNICKIE
2245;20.11.2016;9491757;BB;BULGARSKIE
2246;20.11.2016;8211629;CK;HUTA (KRA)
2247;20.11.2016;9775177;PA;CHORZOWSKIE
2248;20.11.2016;9150482;MT;BULGARSKIE
2249;21.11.2016;9391127;MT;SPOLDZIELCZE
2250;21.11.2016;7514440;VC;HUTA (KRA)
2251;21.11.2016;9710335;MT;CPN III
2252;21.11.2016;8801084;NL;PARNICKIE
2253;21.11.2016;9364148;NL;BULGARSKIE
2254;21.11.2016;9518256;NL;KATOWICKIE
2255;21.11.2016;9356490;NL;HOLENDERSKIE
2256;21.11.2016;9006332;NL;REGALICA
2257;21.11.2016;9057238;NL;PARNICKIE
2258;22.11.2016;9391127;MT;SPOLDZIELCZE
2259;22.11.2016;9155913;CY;WALBRZYSKIE
2260;22.11.2016;9255622;CW;GORNOSLASKIE
2261;22.11.2016;9367762;NL;SLOWACKIE
2262;22.11.2016;9085455;BE;ANGIELSKIE
2263;22.11.2016;8104541;AG;POZNANSKIE
2264;22.11.2016;8912481;FI;CZESKIE
2265;23.11.2016;8911841;FO;CEMENTOWE
2266;23.11.2016;9196266;BS;SNOP S
2267;23.11.2016;9391127;MT;SPOLDZIELCZE
2268;23.11.2016;9165308;AG;CZESKIE
2269;23.11.2016;9505687;LV;PARNICKIE
2270;23.11.2016;8504208;DE;KATOWICKIE
2271;23.11.2016;9458248;NL;GORNOSLASKIE
2272;24.11.2016;8222185;AG;BYDGOSKIE
2273;24.11.2016;8905115;DE;ZBOZOWE
2274;24.11.2016;9201970;NL;GLIWICKIE
2275;24.11.2016;8908806;BB;HUK
2276;24.11.2016;9195755;NL;SNOP S
2277;24.11.2016;9161247;PL;BULWAR CHROBREGO
2278;24.11.2016;9391127;MT;SPOLDZIELCZE
2279;24.11.2016;9658355;MH;CPN III
2280;24.11.2016;9313876;NL;GLIWICKIE
2281;25.11.2016;8922266;BS;POZNANSKIE
2282;25.11.2016;9349215;CY;FINSKIE
2283;25.11.2016;9015462;AG;BULGARSKIE
2284;25.11.2016;8603377;RU;CZESKIE
2285;25.11.2016;6519302;PL;REMONTOWE
2286;25.11.2016;8918708;NL;WEGIERSKIE
2287;25.11.2016;9369007;PT;FINSKIE
2288;25.11.2016;7704057;PL;CAL
2289;25.11.2016;9113018;FI;PIRS E
2290;25.11.2016;9201956;NL;BULGARSKIE
2291;26.11.2016;9391127;MT;SPOLDZIELCZE
2292;26.11.2016;8230376;RU;HUTA (KRA)
2293;26.11.2016;9118496;NO;HUTA (KRA)
2294;26.11.2016;6605503;PL;WARSZTATOWE
2295;26.11.2016;9370094;AG;BYTOMSKIE
2296;26.11.2016;8915902;DE;SNOP S
2297;27.11.2016;8320585;DM;POLSKIE
2298;27.11.2016;9467201;NL;CZESKIE
2299;27.11.2016;8225474;PL;WARSZTATOWE
2300;27.11.2016;8919855;AG;FINSKIE
2301;27.11.2016;8100636;BS;PARNICKIE
2302;27.11.2016;8504947;DE;GLIWICKIE
2303;27.11.2016;8628133;RU;WALBRZYSKIE
2304;27.11.2016;9391127;MT;SPOLDZIELCZE
2305;28.11.2016;9199256;AG;PARNICKIE
2306;28.11.2016;9528483;CY;KATOWICKIE
2307;28.11.2016;9019200;AG;GORNOSLASKIE
2308;28.11.2016;9521863;LR;DOK 5
2309;29.11.2016;9313802;NL;PRZEMYSLOWE
2310;29.11.2016;9391127;MT;SPOLDZIELCZE
2311;29.11.2016;9496252;BS;GNIE─╣─ůNIENSKIE
2312;29.11.2016;8920282;NO;HUTA (KRA)
2313;29.11.2016;8404446;BE;ANGIELSKIE
2314;29.11.2016;9234410;BS;CHORZOWSKIE
2315;29.11.2016;7704057;PL;CAL
2316;30.11.2016;9517240;NL;REGALICA
2317;30.11.2016;9391127;MT;SPOLDZIELCZE
2318;30.11.2016;8412417;VC;HUTA (KRA)
2319;30.11.2016;9100059;DE;BYDGOSKIE
2320;30.11.2016;8511885;VC;FOSFATOWE
2321;30.11.2016;7641475;PL;CAL
2322;30.11.2016;8222185;AG;SNOP S
2323;01.12.2016;9199385;GI;SLOWACKIE
